"filename", "language", "Markdown", "Dart", "JavaScript", "CSS", "C++", "JSON", "HTML", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\assets\privacy_policy.md", "Markdown", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 63
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\assets\seite_wildarten.json", "JSON", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 88
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\assets\terms_and_conditions.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 34
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\gh-pages\assets\img\app-store-badge.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 1, 1, 130
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\gh-pages\assets\img\google-play-badge.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 1, 5, 107
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\gh-pages\assets\img\tnw-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\gh-pages\css\styles.css", "CSS", 0, 0, 0, 10142, 0, 0, 0, 0, 0, 0, 0, 0, 49, 2449, 12640
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\gh-pages\index.html", "HTML", 0, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 42, 7, 328
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\gh-pages\js\scripts.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 35
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\gh-pages\site.webmanifest", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
